Approved symbol,Approved name,Accession numbers,RefSeq IDs
A1BG,alpha-1-B glycoprotein,,NM_130786
A1CF,APOBEC1 complementation factor,AF271790,NM_014576
A2M,alpha-2-macroglobulin,"BX647329, X68728, M11313",NM_000014
A2ML1,alpha-2-macroglobulin like 1,AK057908,NM_144670
A3GALT2,"alpha 1,3-galactosyltransferase 2",,NM_001080438
A4GALT,"alpha 1,4-galactosyltransferase (P1PK blood group)",,NM_017436
A4GNT,"alpha-1,4-N-acetylglucosaminyltransferase",AF141315,NM_016161
AAAS,aladin WD repeat nucleoporin,AJ289841
AACS,acetoacetyl-CoA synthetase,AK022451,NM_023928
AADAC,arylacetamide deacetylase,L32179,NM_001086
AADACL2,arylacetamide deacetylase like 2,BC065724,NM_207365
AADACL3,arylacetamide deacetylase like 3,,NM_001103170
AADACL4,arylacetamide deacetylase like 4,,NM_001013630
AADAT,aminoadipate aminotransferase,AF097994,NM_016228
AAGAB,alpha and gamma adaptin binding protein,AL136715,NM_024666
AAK1,AP2 associated kinase 1,AB028971,NM_014911
AAMDC,adipogenesis associated Mth938 domain containing,BC016854,NM_024684
AAMP,angio associated migratory cell protein,AB209790,NM_001087
AANAT,aralkylamine N-acetyltransferase,U40347,NM_001088
AAR2,AAR2 splicing factor,,NM_015511
AARD,alanine and arginine rich domain containing protein,"AB181519, BC140924",NM_001025357
AARS1,alanyl-tRNA synthetase 1,D32050,NM_001605
AARS2,"alanyl-tRNA synthetase 2, mitochondrial",AB033096,NM_020745
AARSD1,alanyl-tRNA synthetase domain containing 1,BC004172,NM_001261434
AASDH,aminoadipate-semialdehyde dehydrogenase,AF516672,NM_181806
AASDHPPT,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,AF302110,NM_015423
AASS,aminoadipate-semialdehyde synthase,AF229180,NM_005763
AATF,apoptosis antagonizing transcription factor,AF083208,NM_012138
AATK,apoptosis associated tyrosine kinase,AB014541,NM_004920
ABAT,4-aminobutyrate aminotransferase,L32961,NM_020686
ABCA1,ATP binding cassette subfamily A member 1,AJ012376,NM_005502
ABCA2,ATP binding cassette subfamily A member 2,U18235,NM_001606
ABCA3,ATP binding cassette subfamily A member 3,U78735,NM_001089
ABCA4,ATP binding cassette subfamily A member 4,U88667,NM_000350
ABCA5,ATP binding cassette subfamily A member 5,U66672,NM_018672
ABCA6,ATP binding cassette subfamily A member 6,U66680,NM_080284
ABCA7,ATP binding cassette subfamily A member 7,AF328787,NM_019112
ABCA8,ATP binding cassette subfamily A member 8,AB020629,NM_007168
ABCA9,ATP binding cassette subfamily A member 9,AF423307,NM_172386
ABCA10,ATP binding cassette subfamily A member 10,AY247065,NM_080282
ABCA12,ATP binding cassette subfamily A member 12,AF418105,NM_173076
ABCA13,ATP binding cassette subfamily A member 13,AY204751,NM_152701
ABCB1,ATP binding cassette subfamily B member 1,M14758,NM_000927
ABCB4,ATP binding cassette subfamily B member 4,M23234,NM_000443
ABCB5,ATP binding cassette subfamily B member 5,U66692,NM_178559
ABCB6,ATP binding cassette subfamily B member 6 (LAN blood group),AF070598,NM_005689
ABCB7,ATP binding cassette subfamily B member 7,AF038950,NM_004299
ABCB8,ATP binding cassette subfamily B member 8,AF047690,NM_007188
ABCB9,ATP binding cassette subfamily B member 9,U66676,NM_019624
ABCB10,ATP binding cassette subfamily B member 10,U18237,NM_012089
ABCB11,ATP binding cassette subfamily B member 11,AF091582,NM_003742
ABCC1,ATP binding cassette subfamily C member 1 (ABCC1 blood group),L05628,NM_004996
ABCC2,ATP binding cassette subfamily C member 2,U63970,NM_000392
ABCC3,ATP binding cassette subfamily C member 3,Y17151,NM_020038
ABCC4,ATP binding cassette subfamily C member 4 (PEL blood group),U66682,NM_005845
